Q    A                                          C?
Q    A                                          C?
1    ocean                                     Yes
2    a                                          No
3    hello                                      No
4    buddyholly                                Yes
5    finland                                   Yes
6    meiji                                     Yes
7    neptune                                   Yes
8    what                                       No
9    tomsawyer                                 Yes
10   okay                                       No
11   pikachu                                   Yes
12   hello                                      No
13   froglike                                  Yes
14   hedwig                                    Yes
15   mitochondria                              Yes
16   a                                          No
Q    A                                          C?
1    a                                          No
2    lightsaber                                Yes
3    8                                         Yes
4    buddyholly                                Yes
5    finland                                   Yes
6    meiji                                     Yes
7    neptune                                   Yes
8    pandora                                   Yes
9    wat                                        No
10   mulan                                     Yes
11   a                                          No
12   jamesi                                    Yes
13   froglike                                  Yes
14   hedwig                                    Yes
15   mitochondria                              Yes
16   alflandon                                 Yes
